Данные измерений. Отсчеты таймера. 1193180 отсчетов - 1 секунда.
Всего проведено измерений:  802 
T1 - момент нарушения оптического тракта.
 T2 - момент восстановления оптического тракта.
 #N |   T1   |   T2  |   dT |   T  |  
 0 , 1598589,  1601705,  3116 
428 , 227909507,  227915370,  5863 , 1707679 
429 , 228783504,  228789379,  5875 , 1748006 
430 , 229636588,  229642476,  5888 , 1706181 
431 , 230509935,  230515835,  5900 , 1746706 
432 , 231362274,  231368186,  5912 , 1704690 
433 , 232234969,  232240894,  5925 , 1745403 
434 , 233086597,  233092535,  5938 , 1703269 
435 , 233958672,  233964623,  5951 , 1744163 
436 , 234809572,  234815538,  5966 , 1701815 
437 , 235681040,  235687016,  5976 , 1742946 
438 , 236531238,  236537227,  5989 , 1700409 
439 , 237402087,  237408090,  6003 , 1741712 
440 , 238251574,  238257590,  6016 , 1698987 
441 , 239121811,  239127839,  6028 , 1740486 
442 , 239970609,  239976650,  6041 , 1697609 
443 , 240840253,  240846307,  6054 , 1739301 
444 , 241688360,  241694428,  6068 , 1696228 
445 , 242557396,  242563475,  6079 , 1738083 
446 , 243404832,  243410926,  6094 , 1694887 
447 , 244273304,  244279410,  6106 , 1736956 
448 , 245120067,  245126184,  6117 , 1693537 
449 , 245987956,  245994088,  6132 , 1735793 
450 , 246834017,  246840163,  6146 , 1692136 
451 , 247701401,  247707557,  6156 , 1734778 
452 , 248546861,  248553032,  6171 , 1690935 
453 , 249413664,  249419846,  6182 , 1733617 
454 , 250258487,  250264682,  6195 , 1689659 
455 , 251124751,  251130958,  6207 , 1732540 
456 , 251968973,  251975193,  6220 , 1688457 
457 , 252834713,  252840948,  6235 , 1731495 
458 , 253678325,  253684573,  6248 , 1687237 
459 , 254543579,  254549838,  6259 , 1730519 
460 , 255386598,  255392871,  6273 , 1686052 
461 , 256251297,  256257581,  6284 , 1729409 
462 , 257093719,  257100018,  6299 , 1684859 
463 , 257957922,  257964232,  6310 , 1728417 
464 , 258799755,  258806080,  6325 , 1683681 
465 , 259663479,  259669817,  6338 , 1727461 
466 , 260504740,  260511092,  6352 , 1682536 
467 , 261367982,  261374343,  6361 , 1726493 
468 , 262208674,  262215050,  6376 , 1681399 
469 , 263071409,  263077798,  6389 , 1725483 
470 , 263911559,  263917962,  6403 , 1680314 
471 , 264773836,  264780251,  6415 , 1724566 
472 , 265613396,  265619825,  6429 , 1679134 
473 , 266475218,  266481658,  6440 , 1723655 
474 , 267314236,  267320690,  6454 , 1678050 
475 , 268175600,  268182066,  6466 , 1722740 
476 , 269014074,  269020554,  6480 , 1676962 
477 , 269874992,  269881485,  6493 , 1721849 
478 , 270712918,  270719424,  6506 , 1675865 
479 , 271573373,  271579892,  6519 , 1720923 
480 , 272410756,  272417288,  6532 , 1674779 
481 , 273270784,  273277328,  6544 , 1720068 
482 , 274107639,  274114198,  6559 , 1673725 
483 , 274967232,  274973803,  6571 , 1719198 
484 , 275803561,  275810145,  6584 , 1672671 
485 , 276662723,  276669322,  6599 , 1718339 
486 , 277498529,  277505140,  6611 , 1671624 
487 , 278357251,  278363875,  6624 , 1717457 
488 , 279192555,  279199192,  6637 , 1670621 
489 , 280050881,  280057531,  6650 , 1716665 
490 , 280885686,  280892351,  6665 , 1669625 
491 , 281743605,  281750280,  6675 , 1715848 
492 , 282577897,  282584587,  6690 , 1668599 
493 , 283435416,  283442119,  6703 , 1715051 
494 , 284269227,  284275944,  6717 , 1667636 
495 , 285126340,  285133070,  6730 , 1714239 
496 , 285959673,  285966416,  6743 , 1666679 
497 , 286816404,  286823160,  6756 , 1713475 
498 , 287649263,  287656032,  6769 , 1665731 
499 , 288505587,  288512369,  6782 , 1712661 
500 , 289337972,  289344769,  6797 , 1664785 
